,id,source,url
83,83,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/bihar/chacha-is-right-nda-will-be-completely-wiped-out-tejashwi-yadav-on-nitishs-cm-modi-gaffe/articleshow/110474224.cms'
84,84,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/rahul-gandhi-writes-to-karnataka-cm-over-prajwal-revanna-scandal-says-women-are-bearing-the-brunt-of-pms-action/articleshow/109834308.cms'
85,85,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-waived-loans-of-22-people-but-couldnt-give-rs-9000-cr-for-hp-monsoon-disaster-rahul-gandhi/articleshow/110436346.cms'
86,86,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/kerala/climate-change-hardly-a-burning-issue-for-indian-voters/articleshow/110087010.cms'
87,87,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/during-cong-sp-rule-day-began-with-news-of-scams-ended-with-terror-blasts-adityanath/articleshow/110411880.cms'
88,88,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/rahul-gandhis-rally-stage-collapses-in-bihar-escapes-unhurt/articleshow/110464560.cms'
89,89,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/constitution-copy-row-opposition-parties-in-assam-attack-cm-himanta-biswa-sarma/articleshow/110236160.cms'
90,90,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/vk-pandian-why-is-naveen-patnaiks-potential-heir-under-fire-from-pm-modi-and-rahul-gandhi/articleshow/109949575.cms'
91,91,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/nirmala-sitharamans-khata-khat-scheme-remark-congress-accuses-fm-of-overseeing-record-unemployment/articleshow/110120868.cms'
92,92,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/india-bloc-govt-will-waive-farm-loans-scrap-agniveer-scheme-rahul-gandhi/articleshow/110559910.cms'
93,93,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/rajasthan/what-to-call-a-person-who-left-battle-in-between-rajnath-singh-takes-jibe-at-rahul-gandhi/articleshow/109818155.cms'
94,94,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/cannot-fail-to-see-a-politician-dabbling-in-my-beloved-game-chess-czar-kasparov-takes-veiled-dig-at-rahul-gandhi/articleshow/109831805.cms'
95,95,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/injustice-to-voters-of-wayanad-cpis-annie-raja-on-rahul-gandhis-raebareli-candidature/articleshow/109831693.cms'
96,96,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/rahul-gandhi-heaps-praise-on-priyanka-says-she-is-giving-her-khoon-pasina-/videoshow/110088740.cms'
97,97,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/telangana/will-rahul-gandhi-apologise-to-dalits-asks-amit-malviya-after-telangana-police-files-closure-in-rohith-vemula-death-case/articleshow/109831556.cms'
98,98,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/why-prashant-kishore-and-karan-thapar-are-trending-on-social-media/articleshow/110351364.cms'
99,99,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/acharya-pramod-on-former-pakistan-minister-praising-rahul-gandhi-says-ye-rishta-kya-kehlata-hai-/videoshow/109818286.cms'
100,100,b'Yahoo! Finance',b'https://ca.finance.yahoo.com/news/modi-400-seat-dream-doubt-044540870.html'
101,101,b'Yahoo! Finance',b'https://ca.finance.yahoo.com/news/modi-touts-indias-roaring-economy-042752013.html'
102,102,b'Yahoo!',b'https://es-us.noticias.yahoo.com/mano-derecha-modi-mide-ma%C3%B1ana-121613012.html'
103,103,b'Yahoo!',b'https://es-us.noticias.yahoo.com/hombres-ricos-asia-controversia-electoral-102753415.html'
104,104,b'Yahoo!',b'https://es-us.noticias.yahoo.com/india-vota-meridiano-mayores-elecciones-073615726.html'
105,105,b'Yahoo!',b'https://es-us.noticias.yahoo.com/elecciones-indias-entran-mes-gandhi-113619965.html'
106,106,b'Yahoo actualit\xc3\xa9s',b'https://fr.news.yahoo.com/inde-lib%C3%A9ration-caution-ministre-chef-102256569.html'
107,107,b'Yahoo actualit\xc3\xa9s',b'https://fr.news.yahoo.com/inde-lopposant-kejriwal-lib%C3%A9r%C3%A9-prison-091609999.html'
108,108,b'Yahoo actualit\xc3\xa9s',b'https://fr.news.yahoo.com/sport/pr%C3%A9sidentielle-au-tchad-d%C3%A9pouillement-cours-140112979.html'
109,109,b'Yahoo actualit\xc3\xa9s',b'https://fr.news.yahoo.com/elections-marathon-inde-premier-ministre-043457605.html'
110,110,b'Yahoo actualit\xc3\xa9s',b'https://fr.news.yahoo.com/%C3%A9lections-inde-nouvelles-attaques-islamophobes-122338080.html'
111,111,b'Yahoo actualit\xc3\xa9s',b'https://fr.news.yahoo.com/cinqui%C3%A8me-phase-%C3%A9lections-nationales-inde-075237616.html'
112,112,b'Yahoo News',b'https://sg.news.yahoo.com/indias-massive-election-faces-heatwave-031858347.html'
113,113,b'Yahoo News',b'https://sg.news.yahoo.com/business-bollywood-votes-india-election-015911327.html'
114,114,b'Yahoo News',b'https://sg.news.yahoo.com/india-bjps-election-videos-targeting-112425609.html'
115,115,b'Yahoo News',b'https://sg.news.yahoo.com/released-opposition-leader-urges-indians-090346397.html'
116,116,b'Yahoo News',b'https://sg.news.yahoo.com/india-begins-voting-fifth-phase-023615161.html'
117,117,b'Yahoo News',b'https://sg.news.yahoo.com/indias-gruelling-acrimonious-election-campaign-135418108.html'
118,118,b'Yahoo News',b'https://sg.news.yahoo.com/indias-government-spoilt-choice-25-055912287.html'
119,119,b'Yahoo News',b'https://sg.news.yahoo.com/modis-struggling-rivals-vote-india-210248516.html'
120,120,b'Yahoo News',b'https://sg.news.yahoo.com/indias-top-court-releases-jailed-091017914.html'
121,121,b'Yahoo News (Taiwan)',b'https://tw.news.yahoo.com/%E5%8D%B0%E5%BA%A6%E5%A4%A7%E9%81%B8%E9%A2%A8%E5%90%91%E5%BE%AE%E8%AE%8A-%E6%9C%9D%E9%87%8E%E6%94%BF%E9%BB%A8%E5%8A%A0%E7%B7%8A%E8%A1%9D%E5%88%BA-073928134.html'
